DATE,CHLORINE,TURBIDITY,FLUORIDE,COLIFORM,ECOLI,LAT,LONG,LOC
3/13/23,0.69,0.63,,<1,<1,40.7322473,-73.8655748,"72 62nd Ave, Rego Park, NY 11374, USA"
3/13/23,0.39,0.61,,<1,<1,40.7174815,-73.7953969,"170th St, Queens, NY, USA"
3/13/23,0.65,0.7,,<1,<1,40.765474,-73.814918,"150-03 Northern Blvd #1st, Flushing, NY 11354, USA"
3/13/23,0.66,0.54,,<1,<1,40.7001388,-73.9833628,"177 Sands St #48, Brooklyn, NY 11201, USA"
3/13/23,0.59,0.58,,<1,<1,40.68444840000001,-73.8831696,"16 Shepherd Ave w o, Brooklyn, NY 11208, USA"
3/13/23,0.61,0.62,,<1,<1,40.6199105,-73.9427428,"Avenue M, Brooklyn, NY, USA"
3/13/23,0.58,0.61,,<1,<1,40.702743,-73.764554,"191st St, Queens, NY, USA"
3/13/23,0.21,0.55,,<1,<1,40.5464584,-74.1414633,"Hylan Blvd, Staten Island, NY, USA"
3/13/23,0.73,0.72,,<1,<1,40.6150111,-74.1030216,"Genesee St, Staten Island, NY 10301, USA"
3/13/23,0.55,0.15,,<1,<1,40.8858319,-73.8613126,"3902 White Plains Rd #1st, Bronx, NY 10467, USA"
3/13/23,0.44,0.17,,<1,<1,40.8403377,-73.9461128,"Henry Hudson Pkwy, New York, NY, USA"
3/13/23,0.61,0.12,0.77,<1,<1,40.87826010000001,-73.8924878,"3055 Goulden Ave, Bronx, NY 10468, USA"
3/13/23,0.58,0.14,0.66,<1,<1,40.87826010000001,-73.8924878,"3055 Goulden Ave, Bronx, NY 10468, USA"
3/13/23,0.62,0.57,,<1,<1,40.8397248,-73.9281289,"1260 Sedgwick Ave #1st, Bronx, NY 10452, USA"
3/14/23,0.62,0.5,,<1,<1,40.7001388,-73.9833628,"177 Sands St #48, Brooklyn, NY 11201, USA"
3/14/23,0.49,0.72,,<1,<1,40.8477113,-73.9009673,"Tremont, Bronx, NY, USA"
3/14/23,0.2,0.1,,<1,<1,40.8362142,-73.8516657,"2208 Starling Ave, Bronx, NY 10462, USA"
3/14/23,0.61,0.51,,<1,<1,40.8397248,-73.9281289,"1260 Sedgwick Ave #1st, Bronx, NY 10452, USA"
3/14/23,0.64,0.53,,<1,<1,40.6191811,-74.028205,"90th St, Brooklyn, NY, USA"
3/14/23,0.65,0.57,,<1,<1,40.6668165,-73.8618897,"943 Eldert Ln #12, Brooklyn, NY 11208, USA"
3/14/23,0.42,0.69,,<1,<1,40.5821852,-73.8256272,"Beach 105 St, Queens, NY 11694, USA"
3/14/23,0.74,0.69,,<1,<1,40.6150111,-74.1030216,"Genesee St, Staten Island, NY 10301, USA"
3/14/23,0.63,0.63,,<1,<1,40.5863534,-74.0928415,"1759 Hylan Blvd, Staten Island, NY 10305, USA"
3/14/23,0.51,0.69,,<1,<1,40.5464584,-74.1414633,"Hylan Blvd, Staten Island, NY, USA"
